0, 0, Header, 0, 1, 96
1, 0, Start_track
1, 0, Title_t, "1-MIDI 3\000"
1, 0, Time_signature, 4, 2, 36, 8
1, 0, Time_signature, 4, 2, 36, 8
1, 53, Note_on_c, 0, 60, 100
1, 112, Note_off_c, 0, 60, 64
1, 144, Note_on_c, 0, 65, 100
1, 170, Note_on_c, 0, 69, 100
1, 172, Note_off_c, 0, 65, 64
1, 202, Note_off_c, 0, 69, 64
1, 218, Note_on_c, 0, 64, 100
1, 242, Note_off_c, 0, 64, 64
1, 276, Note_on_c, 0, 71, 100
1, 318, Note_off_c, 0, 71, 64
1, 391, Note_on_c, 0, 62, 100
1, 442, Note_off_c, 0, 62, 64
1, 442, End_track
0, 0, End_of_file
